coef_Dual	coef_R	coef_S	coef_slow	t_Dual	t_R	t_S	t_slow	pval_Dual	pval_R	pval_S	pval_slow
AL627309.1	0.00746553169372711	0.0081208582139891	-0.0179489885503872	-0.00651337512147622	0.145363531734361	0.166823092820366	-0.374758676354875	-0.132845611675502	0.887312099582926	0.867511088594073	0.707844286584359	0.896950660365548
LINC00115	-0.0346377490090998	-0.0318483800125213	-0.0315800956549646	-0.0546413984907199	-0.566947930833614	-0.530292403254272	-0.542666940997434	-0.928605581837385	0.583250668837069	0.595915638769637	0.587365739758722	0.37496453584891
FAM41C	0.147315814981707	0.111140827770016	0.20707977896472	0.193333556914624	1.01576473471135	0.844843273292066	1.58296088800901	1.40728597375619	0.333687135169132	0.398209380529766	0.113447637246285	0.189656584522857
SAMD11	0.00343976131929491	0.0343365511094096	0.0154317254251595	0.00805781321909206	0.107848945273447	1.1196057459057	0.513557184132177	0.263770900509243	0.916248711201027	0.262896481067559	0.607567812816385	0.797312295188606
NOC2L	0.507473204767061	0.386601760335669	0.0967323335396017	0.227290023421863	2.71653183437175	2.31316852638424	0.580411403984691	1.28687222157628	0.0216890622681468	0.020724391361312	0.561644353814488	0.227128919551671
KLHL17	0.070280015604492	0.0554785307686746	0.0369733333771379	0.0408586616680472	1.53998818624425	1.24189744306555	0.851151870094222	0.930485391625856	0.154585854877536	0.21429029858289	0.394696117281335	0.374037153600209
HES4	0.0781712041661507	-0.123657619201935	-0.0207904702690037	-0.115075397895287	0.464065640493178	-0.819791558728691	-0.138241974996075	-0.722466412416674	0.652538493486794	0.412345606874193	0.890050701335197	0.486559767645464
ISG15	1.53930195788637	0.788488037126411	0.396981778452828	0.723601016777718	4.16737589432457	2.43079167923083	1.22416221323984	2.07655736784433	0.0019259899253109	0.0150754017749123	0.220906779495556	0.0645697087079365
AGRN	0.0826411100561261	0.110971688082028	0.0521624804274119	0.0194910066817571	1.74959487635084	2.4042731775063	1.16100329142444	0.429050870033951	0.110753500236253	0.0162145200285993	0.245655685135751	0.676982379266177
C1orf159	0.0590372449885397	0.0571319129724532	-0.00135277058210204	0.00184118890697248	0.897224903716368	0.891090297047829	-0.0216435939741788	0.0291158756891412	0.390688190115748	0.372892429873392	0.9827324943643	0.977345058275223
TNFRSF18	-0.103511518015454	-0.00134073131759379	-0.00908417039285142	-0.0289923500689353	-0.91017650218523	-0.0127774363656423	-0.0873995413534987	-0.268405612488527	0.384143213306786	0.989805497301905	0.930354888951044	0.793842767123017
TNFRSF4	0.11720477543969	0.139052544670863	0.137457948919665	0.089839930304097	0.724187787184044	0.96047733124244	0.952111506988041	0.587132980800727	0.485547809648048	0.336827707853089	0.341052992241221	0.570132110505615
SDF4	0.354120500966931	0.431636540319253	0.197055180507725	0.22812067111428	2.75570055309742	3.6721646755086	1.68902124725242	1.87166219229257	0.0202788751457613	0.000241188400294671	0.0912323717515566	0.0907596757446712
B3GALT6	0.248874471650569	0.269789585302989	0.0525333255699651	0.177401539862899	3.0422852605851	3.45343527404226	0.684892006983404	2.26779398894669	0.0124140662242785	0.0005547457902309	0.493420733090643	0.0467454786323003
UBE2J2	0.548770779574262	0.48283441552534	0.227289633844811	0.369288631380473	7.15003394594415	6.53966735289918	3.14239640972703	5.02297702717715	3.1046939726632e-05	6.32842852859345e-11	0.00167837976062745	0.00051946015274707
SCNN1D	-0.00030650645391422	0.0155801581709099	0.0220130833499065	0.0116919136538113	-0.0102083457602916	0.535786538447487	0.774545713074659	0.405829753888566	0.992055845931167	0.592112589789313	0.438618139994282	0.693415147947637
ACAP3	-0.0128028782017767	0.249228424219561	0.165607005563982	0.0961042059336655	-0.0689476858444177	1.50032746846396	0.999727619339817	0.547409483505322	0.94639047431788	0.133546826554891	0.317455543454771	0.596102341996609
PUSL1	0.182261369532234	0.154486415693526	0.11576896744601	0.0583027567770239	1.28816632367204	1.20289582653765	0.906619122089085	0.434964821520118	0.226695710889046	0.229032177507797	0.364620167646047	0.672825095085465
DVL1	0.08916704276509	0.0825469449621088	0.0606132304135362	0.0690197619652522	1.35159747385452	1.3142560999409	0.98204235371315	1.09482113319355	0.206284577228331	0.188776486166815	0.32609194876741	0.299263162795211
MXRA8	0.0078421930418986	0.00181145819259994	0.00125065503747121	0.0814850578006349	0.130576449614276	0.0328530102977584	0.0228717085788776	1.42965788118345	0.898699805553067	0.973792162719644	0.981752856813778	0.183304494646392
AURKAIP1	1.16918888601224	0.804898264397703	0.394274010397341	0.654509382005832	4.69516338526512	3.65174260441305	1.79074450343811	2.7835969624384	0.000847764870473291	0.000261192076929497	0.0733508053222806	0.0193309815682279
CCNL2	0.250424565240525	0.195391820122809	0.199914260852053	0.217756472893367	2.17889554018631	1.84185093242427	1.90263633314689	1.99467432313221	0.0543468565731744	0.0655131074123075	0.0571036746354418	0.0740420518078469
MRPL20	1.36803485522434	0.819502749134624	0.347372535904197	0.703546531958104	5.34560402947662	3.62220442141095	1.5368305386142	2.91191139175112	0.000325635827880865	0.000292892023091928	0.124352078907514	0.0155138624929088
ATAD3C	0.11515388358456	0.0753137898992782	0.0459614055483635	0.065516424984808	0.912368904800259	0.656672724617826	0.403150886403049	0.547847144104107	0.383043011873284	0.511399622595524	0.686841931386856	0.595812836218653
ATAD3B	0.277420172132508	0.181060599057422	0.130260739395998	0.118448191439986	3.29156302938685	2.25631777192492	1.65188683783335	1.47066574442949	0.00812852867396552	0.0240624722673057	0.0985747559031725	0.172133369550725
ATAD3A	0.359804299752036	0.338374485656987	0.0907362945443882	0.17735044161412	2.74256948830843	2.82432431179885	0.762747661405743	1.425655885902	0.0207410769963913	0.00474315686234406	0.445623718860797	0.18442725765824
SSU72	0.429667350368489	0.334958600837624	0.153823515057769	0.141339487389799	1.83450029484056	1.61198238762251	0.741325729827879	0.638931806064004	0.0964630594301749	0.106982994330437	0.458505464877566	0.537226307340674
